,ICMS Líquido Previsto,Liberações Financeiras,Valor Bruto da Folha de Pagamento,Porcentagem da Folha de Pagamento Sobre Liberações Financeiras,Porcentagem da Folha de Pagamento Acumulado Sobre Liberações
JAN,7.565.012.081,169.450.776,157.454.647,"92,92","92,92"
FEV,7.482.241.486,159.500.837,155.508.796,"97,50","95,14"
MAR,7.757.979.489,167.274.400,153.517.568,"91,78","94,01"
ABR,8.096.930.500,170.888.071,153.690.591,"89,94","92,96"
MAI,8.046.080.501,163.424.917,154.767.723,"94,70","93,31"
JUN,7.554.303.480,147.055.925,162.662.133,"110,61","95,91"
JUL,7.554.909.501,167.887.464,160.058.407,"95,34","95,83"
AGO,7.762.333.512,172.488.158,161.768.849,"93,79","95,56"
SET,7.300.045.876,150.541.854,159.188.033,"105,74","96,60"
OUT,8.060.464.513,188.299.643,159.089.186,"84,49","95,23"
NOV,7.666.223.507,163.837.753,167.045.362,"101,96","95,83"
DEZ,8.459.679.038,182.840.097,163.448.522,"89,39","95,24"
TOTAL ACUM.,93.306.203.484,2.003.489.895,1.908.199.817,"95,24","95,24"
